Time (seconds since launch),Latitude (degrees),Longitude (degrees),Altitude (km)
0,-77.853,167.213,-0.01097561
67.392,-77.854,167.216,0.293292683
127.872,-77.854,167.221,0.211585366
184.032,-77.841,167.239,1.222256098
261.792,-77.835,167.24,1.559146341
324.864,-77.828,167.237,1.853353659
383.616,-77.819,167.229,2.20945122
445.824,-77.812,167.222,2.499085366
497.664,-77.807,167.221,2.77195122
541.728,-77.804,167.224,2.981707317
610.848,-77.798,167.236,3.263109756
690.336,-77.792,167.242,3.475609756
750.816,-77.789,167.245,3.59847561
811.296,-77.784,167.261,3.894207317
870.048,-77.781,167.273,4.112804878
923.616,-77.777,167.288,4.325609756
967.68,-77.775,167.3,4.468597561
1026.432,-77.771,167.319,4.657317073
1168.128,-77.77,167.331,4.729878049
1232.928,-77.767,167.359,4.83902439
1294.272,-77.764,167.389,4.983841463
1363.392,-77.76,167.427,5.193902439
1425.6,-77.755,167.496,5.555487805
1486.08,-77.75,167.583,5.978658537
1525.824,-77.75,167.603,6.078353659
1609.632,-77.749,167.623,6.17195122
1669.248,-77.747,167.707,6.593902439
1722.816,-77.746,167.761,6.858536585
1765.152,-77.746,167.796,7.017073171
1833.408,-77.745,167.853,7.27347561
1857.6,-77.744,167.865,7.327134146
1975.104,-77.743,167.923,7.568597561
1984.608,-77.742,167.968,7.761585366
2120.256,-77.742,167.991,8.006402439
2172.096,-77.743,168.07,8.209146341
2244.672,-77.743,168.125,8.430182927
2297.376,-77.743,168.163,8.576829268
2369.952,-77.742,168.206,8.722256098
2489.184,-77.743,168.284,8.733841463
2574.72,-77.743,168.326,8.917073171
2663.712,-77.743,168.366,9.119207317
2712.96,-77.743,168.408,9.191768293
2783.808,-77.743,168.437,9.182621951
2854.656,-77.744,168.47,9.341768293
2903.904,-77.745,168.494,9.484756098
2971.296,-77.746,168.522,9.611585366
3021.408,-77.747,168.539,9.676219512
3246.912,-77.75,168.625,10.05945122
3314.304,-77.751,168.654,10.09390243
3413.664,-77.751,168.694,10.15945122
3467.232,-77.752,168.723,10.3070122
3532.896,-77.753,168.743,10.46554878
3652.128,-77.755,168.786,10.74512195
3724.704,-77.756,168.808,10.80914634
3792.096,-77.757,168.824,10.90091463
3860.352,-77.757,168.84,11.27317073
3943.296,-77.76,168.875,11.41067073
4002.048,-77.762,168.888,11.51615854
4061.664,-77.763,168.904,11.58628049
4123.008,-77.765,168.92,11.60243902
4212,-77.768,168.946,11.72835366
4273.344,-77.769,168.96,11.86646341
4333.824,-77.769,168.974,12.00426829
4393.44,-77.77,168.989,12.19756098
4453.92,-77.773,169.011,12.31189024
4512.672,-77.775,169.028,12.39146341
4573.152,-77.777,169.045,12.47621951
4632.768,-77.779,169.06,12.57804878
4693.248,-77.782,169.076,12.71189024
4752.864,-77.784,169.089,12.85182927
4811.616,-77.787,169.097,12.95945122
4872.96,-77.79,169.112,13.0902439
4933.44,-77.793,169.131,13.16067073
4992.192,-77.796,169.15,13.25030487
5052.672,-77.801,169.165,13.34420732
5112.288,-77.805,169.18,13.42103659
5172.768,-77.81,169.197,13.53384146
5230.656,-77.814,169.218,13.61615854
5292.864,-77.817,169.233,13.69603659
5351.616,-77.82,169.246,13.82560976
5412.096,-77.822,169.254,13.97073171
5470.848,-77.825,169.263,14.10030487
5533.056,-77.829,169.271,14.30487805
5594.4,-77.832,169.281,14.40182927
5652.288,-77.836,169.293,14.5097561
5742.144,-77.843,169.315,14.64664634
5802.624,-77.846,169.328,14.7570122
5862.24,-77.849,169.337,14.91310976
5920.992,-77.851,169.342,15.09268293
5952.096,-77.852,169.343,15.22317073
6020.352,-77.856,169.35,15.37621951
6079.968,-77.86,169.355,15.4777439
6169.824,-77.865,169.366,15.61067073
6231.168,-77.868,169.377,15.737
6289.056,-77.871,169.387,15.94939024
6351.264,-77.875,169.394,16.07804878
6410.88,-77.878,169.401,16.15426829
6471.36,-77.881,169.408,16.22804878
6530.976,-77.886,169.421,16.41554878
6590.592,-77.889,169.436,16.5695122
6650.208,-77.892,169.448,16.69786585
6710.688,-77.895,169.458,16.82530487
6771.168,-77.899,169.474,16.92957317
6830.784,-77.901,169.486,17.01829268
6891.264,-77.903,169.495,17.14512195
6950.016,-77.905,169.499,17.27865854
7012.224,-77.908,169.507,17.41981707
7070.976,-77.91,169.518,17.55640243
7129.728,-77.911,169.531,17.72195122
7191.072,-77.913,169.539,17.8597561
7250.688,-77.915,169.546,17.98536585
7312.032,-77.917,169.553,18.0972561
7370.784,-77.919,169.561,18.20365854
7431.264,-77.922,169.57,18.35609756
7490.88,-77.924,169.572,18.48292683
7551.36,-77.926,169.575,18.58567073
7611.84,-77.93,169.584,18.76737805
7700.832,-77.933,169.599,19.00365854
7762.176,-77.934,169.607,19.10152439
7820.928,-77.935,169.612,19.18658537
7881.408,-77.936,169.612,19.3429878
7941.888,-77.939,169.612,19.53902439
8000.64,-77.94,169.611,19.72195122
8061.984,-77.941,169.61,19.81890243
8120.736,-77.942,169.608,19.97
8180.352,-77.944,169.606,20.07134146
8241.696,-77.946,169.604,20.22378049
8300.448,-77.949,169.603,20.36006098
8361.792,-77.95,169.602,20.56158537
8417.088,-77.951,169.599,20.77317073
8449.056,-77.953,169.6,21.02621951
8538.912,-77.958,169.608,21.06189024
8597.664,-77.961,169.611,21.08628049
8628.768,-77.962,169.613,21.12865854
8717.76,-77.964,169.609,21.46890243
8779.104,-77.967,169.605,21.66981707
8837.856,-77.969,169.607,21.90762195
8898.336,-77.971,169.608,21.96890243
8958.816,-77.974,169.604,22.1097561
9018.432,-77.977,169.6,22.21493902
9109.152,-77.979,169.598,22.48109756
9167.904,-77.98,169.597,22.67042683
9229.248,-77.983,169.595,22.8847561
9288.864,-77.986,169.597,23.02957317
9347.616,-77.988,169.596,23.17713415
9378.72,-77.989,169.594,23.24786585
9467.712,-77.992,169.585,23.47926829
9529.92,-77.995,169.578,23.61615854
9588.672,-77.997,169.573,23.77103659
9649.152,-77.999,169.572,23.92286585
9709.632,-78.001,169.567,24.09939024
9768.384,-78.002,169.561,24.23689024
9829.728,-78.003,169.555,24.37835366
9887.616,-78.004,169.549,24.55426829
9948.096,-78.006,169.544,24.7570122
9979.2,-78.007,169.542,24.85914634
10069.056,-78.009,169.523,25.1554878
10130.4,-78.011,169.514,25.27042683
10189.152,-78.012,169.505,25.41676829
10248.768,-78.012,169.491,25.57439024
10309.248,-78.013,169.481,25.73170732
10368.864,-78.013,169.471,25.91280487
10429.344,-78.014,169.46,26.07012195
10488.96,-78.015,169.445,26.2222561
10577.952,-78.017,169.423,26.44146341
10639.296,-78.019,169.402,26.63810976
10698.912,-78.022,169.383,26.78323171
10761.12,-78.024,169.368,26.88993902
10818.144,-78.026,169.352,27.01493902
10880.352,-78.028,169.341,27.14359756
10938.24,-78.03,169.328,27.30609756
10998.72,-78.031,169.314,27.53963415
11060.064,-78.033,169.295,27.66067073
11117.952,-78.033,169.279,27.77865854
11149.056,-78.033,169.271,27.8429878
11238.912,-78.034,169.244,28.10426829
11299.392,-78.035,169.227,28.24939024
11359.008,-78.036,169.209,28.412
11388.384,-78.037,169.2,28.42256098
11479.968,-78.04,169.17,28.6195122
11537.856,-78.042,169.154,28.7527439
11600.064,-78.044,169.136,28.90152439
11658.816,-78.044,169.119,29.06128049
11689.92,-78.045,169.111,29.26920732
11747.808,-78.045,169.091,29.30579268
11840.256,-78.046,169.065,29.49542683
11899.008,-78.046,169.048,29.62408537
11958.624,-78.047,169.028,29.75243902
12019.968,-78.048,169.008,29.86432927
12080.448,-78.048,168.989,30.03719512
12141.792,-78.049,168.97,30.16615854
12204.864,-78.049,168.951,30.33018293
12267.072,-78.05,168.931,30.49390243
12331.008,-78.05,168.905,30.67835366
12392.352,-78.051,168.882,30.81097561
12456.288,-78.051,168.86,30.9304878
12519.36,-78.051,168.838,30.96463415
12579.84,-78.05,168.808,31.06371951
12642.912,-78.049,168.781,31.1847561
12705.984,-78.049,168.755,31.3445122
12769.056,-78.05,168.73,31.5222561
12830.4,-78.051,168.71,31.71890243
12892.608,-78.052,168.689,31.7820122
12957.408,-78.052,168.67,31.85243902
13017.888,-78.053,168.651,31.95426829
13081.824,-78.053,168.629,32.10914634
13144.032,-78.054,168.596,32.2972561
13201.92,-78.054,168.571,32.39664634
13265.856,-78.056,168.545,32.45365854
13327.2,-78.057,168.522,32.55457317
13390.272,-78.059,168.496,32.75182927
13453.344,-78.06,168.473,32.90487805
13513.824,-78.06,168.45,32.97926829
13545.792,-78.06,168.439,32.98658537
13608.864,-78.059,168.416,33.0097561
13695.264,-78.059,168.375,33.23628049
13756.608,-78.059,168.352,33.44695122
13789.44,-78.06,168.341,33.52926829
13879.296,-78.063,168.307,33.58353659
13939.776,-78.064,168.289,33.57743902
13999.392,-78.065,168.272,33.68567073
14059.008,-78.064,168.245,33.95304878
14120.352,-78.062,168.219,34.08414634
14181.696,-78.06,168.192,34.0945122
14242.176,-78.058,168.166,34.10518293
14300.928,-78.056,168.139,34.20945122
14359.68,-78.054,168.11,34.40609756
14420.16,-78.053,168.075,34.6277439
14482.368,-78.052,168.044,34.71067073
14541.12,-78.052,168.013,34.68963415
14599.008,-78.053,167.98,34.70213415
14653.44,-78.053,167.939,34.8652439
14738.112,-78.053,167.891,35.07682927
14794.272,-78.052,167.86,35.14390243
14848.704,-78.051,167.828,35.17713415
14905.728,-78.05,167.785,35.24603659
14961.888,-78.049,167.753,35.36402439
15045.696,-78.049,167.707,35.56128049
15074.208,-78.049,167.689,35.66463415
15131.232,-78.052,167.639,35.64115854
15214.176,-78.055,167.576,35.56890243
15271.2,-78.057,167.533,35.67957317
15325.632,-78.058,167.493,35.82865854
15412.032,-78.061,167.427,35.97317073
15467.328,-78.062,167.393,35.98384146
15524.352,-78.063,167.361,36.01310976
15554.592,-78.063,167.346,36.05853659
15613.344,-78.066,167.312,36.26554878
15704.928,-78.069,167.275,36.47317073
15763.68,-78.072,167.251,36.5
15824.16,-78.073,167.226,36.5847561
15883.776,-78.075,167.192,36.69908537
15914.016,-78.076,167.178,36.7570122
16004.736,-78.077,167.132,36.83292683
16033.248,-78.077,167.115,36.83871951
16124.832,-78.079,167.066,36.9652439
16185.312,-78.08,167.026,37.06615854
16244.064,-78.08,166.992,37.16341463
16305.408,-78.081,166.955,37.21768293
16333.056,-78.081,166.936,37.23597561
16453.152,-78.081,166.842,37.35487805
16512.768,-78.081,166.794,37.35731707
16574.112,-78.081,166.745,37.34634146
16633.728,-78.082,166.693,37.39542683
16694.208,-78.082,166.628,37.54786585
16753.824,-78.084,166.575,37.71158537
16814.304,-78.086,166.52,37.7929878
