Time (seconds since launch),Latitude (degrees),Longitude (degrees)
0,-77.853,167.213
67.392,-77.854,167.216
127.872,-77.854,167.221
184.032,-77.841,167.239
261.792,-77.835,167.24
324.864,-77.828,167.237
383.616,-77.819,167.229
445.824,-77.812,167.222
497.664,-77.807,167.221
541.728,-77.804,167.224
610.848,-77.798,167.236
690.336,-77.792,167.242
750.816,-77.789,167.245
811.296,-77.784,167.261
870.048,-77.781,167.273
923.616,-77.777,167.288
967.68,-77.775,167.3
1026.432,-77.771,167.319
1168.128,-77.77,167.331
1232.928,-77.767,167.359
1294.272,-77.764,167.389
1363.392,-77.76,167.427
1425.6,-77.755,167.496
1486.08,-77.75,167.583
1525.824,-77.75,167.603
1609.632,-77.749,167.623
1669.248,-77.747,167.707
1722.816,-77.746,167.761
1765.152,-77.746,167.796
1833.408,-77.745,167.853
1857.6,-77.744,167.865
1975.104,-77.743,167.923
1984.608,-77.742,167.968
2120.256,-77.742,167.991
2172.096,-77.743,168.07
2244.672,-77.743,168.125
2297.376,-77.743,168.163
2369.952,-77.742,168.206
2489.184,-77.743,168.284
2574.72,-77.743,168.326
2663.712,-77.743,168.366
2712.96,-77.743,168.408
2783.808,-77.743,168.437
2854.656,-77.744,168.47
2903.904,-77.745,168.494
2971.296,-77.746,168.522
3021.408,-77.747,168.539
3246.912,-77.75,168.625
3314.304,-77.751,168.654
3413.664,-77.751,168.694
3467.232,-77.752,168.723
3532.896,-77.753,168.743
3652.128,-77.755,168.786
3724.704,-77.756,168.808
3792.096,-77.757,168.824
3860.352,-77.757,168.84
3943.296,-77.76,168.875
4002.048,-77.762,168.888
4061.664,-77.763,168.904
4123.008,-77.765,168.92
4212,-77.768,168.946
4273.344,-77.769,168.96
4333.824,-77.769,168.974
4393.44,-77.77,168.989
4453.92,-77.773,169.011
4512.672,-77.775,169.028
4573.152,-77.777,169.045
4632.768,-77.779,169.06
4693.248,-77.782,169.076
4752.864,-77.784,169.089
4811.616,-77.787,169.097
4872.96,-77.79,169.112
4933.44,-77.793,169.131
4992.192,-77.796,169.15
5052.672,-77.801,169.165
5112.288,-77.805,169.18
5172.768,-77.81,169.197
5230.656,-77.814,169.218
5292.864,-77.817,169.233
5351.616,-77.82,169.246
5412.096,-77.822,169.254
5470.848,-77.825,169.263
5533.056,-77.829,169.271
5594.4,-77.832,169.281
5652.288,-77.836,169.293
5742.144,-77.843,169.315
5802.624,-77.846,169.328
5862.24,-77.849,169.337
5920.992,-77.851,169.342
5952.096,-77.852,169.343
6020.352,-77.856,169.35
6079.968,-77.86,169.355
6169.824,-77.865,169.366
6231.168,-77.868,169.377
6289.056,-77.871,169.387
6351.264,-77.875,169.394
6410.88,-77.878,169.401
6471.36,-77.881,169.408
6530.976,-77.886,169.421
6590.592,-77.889,169.436
6650.208,-77.892,169.448
6710.688,-77.895,169.458
6771.168,-77.899,169.474
6830.784,-77.901,169.486
6891.264,-77.903,169.495
6950.016,-77.905,169.499
7012.224,-77.908,169.507
7070.976,-77.91,169.518
7129.728,-77.911,169.531
7191.072,-77.913,169.539
7250.688,-77.915,169.546
7312.032,-77.917,169.553
7370.784,-77.919,169.561
7431.264,-77.922,169.57
7490.88,-77.924,169.572
7551.36,-77.926,169.575
7611.84,-77.93,169.584
7700.832,-77.933,169.599
7762.176,-77.934,169.607
7820.928,-77.935,169.612
7881.408,-77.936,169.612
7941.888,-77.939,169.612
8000.64,-77.94,169.611
8061.984,-77.941,169.61
8120.736,-77.942,169.608
8180.352,-77.944,169.606
8241.696,-77.946,169.604
8300.448,-77.949,169.603
8361.792,-77.95,169.602
8417.088,-77.951,169.599
8449.056,-77.953,169.6
8538.912,-77.958,169.608
8597.664,-77.961,169.611
8628.768,-77.962,169.613
8717.76,-77.964,169.609
8779.104,-77.967,169.605
8837.856,-77.969,169.607
8898.336,-77.971,169.608
8958.816,-77.974,169.604
9018.432,-77.977,169.6
9109.152,-77.979,169.598
9167.904,-77.98,169.597
9229.248,-77.983,169.595
9288.864,-77.986,169.597
9347.616,-77.988,169.596
9378.72,-77.989,169.594
9467.712,-77.992,169.585
9529.92,-77.995,169.578
9588.672,-77.997,169.573
9649.152,-77.999,169.572
9709.632,-78.001,169.567
9768.384,-78.002,169.561
9829.728,-78.003,169.555
9887.616,-78.004,169.549
9948.096,-78.006,169.544
9979.2,-78.007,169.542
10069.056,-78.009,169.523
10130.4,-78.011,169.514
10189.152,-78.012,169.505
10248.768,-78.012,169.491
10309.248,-78.013,169.481
10368.864,-78.013,169.471
10429.344,-78.014,169.46
10488.96,-78.015,169.445
10577.952,-78.017,169.423
10639.296,-78.019,169.402
10698.912,-78.022,169.383
10761.12,-78.024,169.368
10818.144,-78.026,169.352
10880.352,-78.028,169.341
10938.24,-78.03,169.328
10998.72,-78.031,169.314
11060.064,-78.033,169.295
11117.952,-78.033,169.279
11149.056,-78.033,169.271
11238.912,-78.034,169.244
11299.392,-78.035,169.227
11359.008,-78.036,169.209
11388.384,-78.037,169.2
11479.968,-78.04,169.17
11537.856,-78.042,169.154
11600.064,-78.044,169.136
11658.816,-78.044,169.119
11689.92,-78.045,169.111
11747.808,-78.045,169.091
11840.256,-78.046,169.065
11899.008,-78.046,169.048
11958.624,-78.047,169.028
12019.968,-78.048,169.008
12080.448,-78.048,168.989
12141.792,-78.049,168.97
12204.864,-78.049,168.951
12267.072,-78.05,168.931
12331.008,-78.05,168.905
12392.352,-78.051,168.882
12456.288,-78.051,168.86
12519.36,-78.051,168.838
12579.84,-78.05,168.808
12642.912,-78.049,168.781
12705.984,-78.049,168.755
12769.056,-78.05,168.73
12830.4,-78.051,168.71
12892.608,-78.052,168.689
12957.408,-78.052,168.67
13017.888,-78.053,168.651
13081.824,-78.053,168.629
13144.032,-78.054,168.596
13201.92,-78.054,168.571
13265.856,-78.056,168.545
13327.2,-78.057,168.522
13390.272,-78.059,168.496
13453.344,-78.06,168.473
13513.824,-78.06,168.45
13545.792,-78.06,168.439
13608.864,-78.059,168.416
13695.264,-78.059,168.375
13756.608,-78.059,168.352
13789.44,-78.06,168.341
13879.296,-78.063,168.307
13939.776,-78.064,168.289
13999.392,-78.065,168.272
14059.008,-78.064,168.245
14120.352,-78.062,168.219
14181.696,-78.06,168.192
14242.176,-78.058,168.166
14300.928,-78.056,168.139
14359.68,-78.054,168.11
14420.16,-78.053,168.075
14482.368,-78.052,168.044
14541.12,-78.052,168.013
14599.008,-78.053,167.98
14653.44,-78.053,167.939
